Luis Diaz, 91376265, luis.diaz@estudiantes.univ.edu, Calculo Integral, 2, 2.46, Reprobo
Laura Torres, 39248723, laura.torres@profesores.univ.edu, Bioquimica, 3, 2.04, Reprobo
Carlos Garcia, 27967568, carlos.garcia@estudiantes.univ.edu, Filosofia, 2, 3.9, Aprobo
Luis Perez, 30613813, luis.perez@profesores.univ.edu, Introduccion a la Economia, 3, 2.27, Reprobo
Carlos Garcia, 27967568, carlos.garcia@estudiantes.univ.edu, Algebra Abstracta, 1, 2.48, Reprobo
Laura Torres, 12352721, laura.torres@profesores.univ.edu, Inteligencia Artificial, 1, 3.23, Aprobo
Jorge Gomez, 14829607, jorge.gomez@profesores.univ.edu, Psicologia General, 1, 2.08, Reprobo
Luisa Sanchez, 42324675, luisa.sanchez@profesores.univ.edu, Lenguaje de Programacion I, 3, 2.86, Reprobo
Ana Sanchez, 93613711, ana.sanchez@univ.edu, Inteligencia Artificial, 1, 3.1, Aprobo
Ana Gomez, 26749614, ana.gomez@univ.edu, Algebra Abstracta, 1, 1.86, Reprobo
Luisa Sanchez, 42324675, luisa.sanchez@profesores.univ.edu, Psicologia General, 3, 1.01, Reprobo
Paula Perez, 79482182, paula.perez@estudiantes.univ.edu, Geometria Analitica, 1, 4.12, Aprobo
Maria Sanchez, 17618799, maria.sanchez@estudiantes.univ.edu, Quimica Organica, 1, 1.65, Reprobo
Maria Fernandez, 34340824, maria.fernandez@univ.edu, Filosofia, 2, 2.95, Reprobo
Paula Fernandez, 79883750, paula.fernandez@profesores.univ.edu, Ingenieria Economica, 1, 2.66, Reprobo
Ana Sanchez, 93613711, ana.sanchez@univ.edu, Ingenieria Economica, 2, 2.32, Reprobo
Paula Diaz, 13972929, paula.diaz@univ.edu, Mecanica de Fluidos, 3, 2.72, Reprobo
Luis Lopez, 35603998, luis.lopez@profesores.univ.edu, Ingenieria Economica, 3, 3.41, Aprobo
Paula Torres, 30600652, paula.torres@univ.edu, Psicologia General, 3, 2.46, Reprobo
Luisa Rodriguez, 70650160, luisa.rodriguez@univ.edu, Calculo Integral, 2, 2.03, Reprobo
Ana Sanchez, 93613711, ana.sanchez@univ.edu, Quimica Organica, 3, 3.13, Aprobo
Maria Lopez, 79792218, maria.lopez@univ.edu, Geometria Analitica, 1, 2.49, Reprobo
Luis Diaz, 62063341, luis.diaz@univ.edu, Derecho Constitucional, 3, 2.5, Reprobo
Laura Garcia, 55443532, laura.garcia@profesores.univ.edu, Bioquimica, 1, 1.87, Reprobo
Luis Diaz, 91376265, luis.diaz@estudiantes.univ.edu, Mecanica de Fluidos, 3, 2.67, Reprobo
Luis Lopez, 35603998, luis.lopez@profesores.univ.edu, Geometria Analitica, 1, 2.87, Reprobo
Ana Sanchez, 93613711, ana.sanchez@univ.edu, Geometria Analitica, 1, 2.8, Reprobo
Maria Torres, 26508124, maria.torres@univ.edu, Filosofia, 2, 1.4, Reprobo
Juan Martinez, 11765182, juan.martinez@estudiantes.univ.edu, Probabilidad y Estadistica, 2, 3.38, Aprobo
Andres Gomez, 84252301, andres.gomez@estudiantes.univ.edu, Derecho Constitucional, 2, 3.2, Aprobo
Maria Fernandez, 34340824, maria.fernandez@univ.edu, Lenguaje de Programacion I, 2, 1.98, Reprobo
